Source, Target, Weight, Common_Token_Cnt
15137, 16930, 0.015625, 1
14102, 14104, 0.335924, 2
13085, 13086, 0.333333, 1
15468, 15468, 0.091218, 3
15109, 15112, 0.014286, 1
19579, 19580, 0.333333, 1
9088, 9088, 0.178520, 3
18391, 18402, 0.090909, 1
15837, 15838, 0.017241, 1
14634, 21430, 0.090909, 1
15665, 15667, 0.250000, 1
15497, 15497, 0.334690, 2
13072, 13072, 0.536601, 3
18683, 18684, 0.200000, 1
14223, 14224, 0.166667, 1
16221, 16223, 0.062500, 1
16302, 16303, 0.500000, 1
12320, 12327, 0.043478, 1
13113, 13114, 0.200000, 1
17674, 17674, 0.835470, 3
9156, 10551, 0.350742, 3
11376, 11377, 0.500000, 1
17949, 17949, 0.515625, 2
13805, 21207, 0.243056, 3
15335, 15335, 0.573445, 3
16005, 16005, 0.338859, 3
14341, 14357, 0.017241, 1
16792, 16795, 0.066667, 1
15105, 15107, 0.014286, 1
15117, 15150, 0.014286, 1
19487, 19488, 0.500000, 1
18804, 18808, 0.066667, 1
16513, 16513, 0.590909, 2
15093, 15150, 0.014286, 1
12577, 12579, 0.200000, 1
17405, 17405, 0.533333, 2
15973, 15973, 0.559566, 3
15110, 15125, 0.014286, 1
15090, 15123, 0.014286, 1
17041, 17041, 0.501263, 2
18789, 18791, 0.166667, 1
11876, 11879, 0.111111, 1
12319, 12321, 0.043478, 1
10776, 10776, 0.208933, 3
9826, 13434, 0.090909, 1
16000, 16001, 0.340741, 2
10699, 10703, 0.029412, 1
12986, 12986, 0.833333, 2
16509, 16510, 0.152966, 4
15087, 15111, 0.014286, 1
17694, 17695, 0.333333, 1
19499, 19499, 0.380952, 2
19322, 19324, 0.333333, 1
14371, 14373, 0.017241, 1
14345, 14362, 0.017241, 1
15140, 15141, 0.014286, 1
20603, 20605, 0.333333, 1
16355, 16355, 0.254104, 3
18996, 18997, 0.103012, 3
21124, 21128, 0.113368, 2
15111, 15146, 0.014286, 1
10788, 10791, 0.166667, 1
18874, 18875, 0.333333, 1
17710, 17711, 0.200000, 1
19147, 19150, 0.250000, 1
13649, 13649, 0.611111, 2
8977, 8977, 0.345455, 3
14197, 14197, 0.316667, 2
17420, 17420, 0.035591, 3
20669, 20670, 0.200000, 1
18859, 18868, 0.055556, 1
14396, 14397, 0.500000, 1
10252, 13049, 0.166667, 1
15152, 21046, 0.083333, 1
21460, 21461, 0.252137, 2
16652, 16653, 0.500000, 1
21336, 21634, 0.111111, 1
12439, 12450, 0.076923, 1
21125, 21126, 0.111111, 1
10370, 10371, 0.142857, 1
15101, 15133, 0.014286, 1
14179, 14180, 0.125000, 1
15103, 15108, 0.014286, 1
10445, 10445, 1.000000, 2
19000, 19004, 0.100000, 1
18105, 18105, 0.335142, 2
13840, 13846, 0.100000, 1
14370, 14388, 0.017241, 1
12699, 12700, 0.200000, 1
13404, 21431, 0.011111, 1
21598, 21599, 0.333333, 1
18142, 18143, 0.500000, 1
16502, 16550, 0.083333, 1
18848, 18848, 0.503534, 2
20462, 20463, 0.333333, 1
15602, 15603, 0.250000, 1
13959, 13962, 0.308824, 2
21620, 21626, 0.071429, 1
9927, 19811, 0.333333, 1
20381, 20384, 0.166667, 1
18983, 18983, 0.501808, 2
13714, 13714, 0.584076, 3
19428, 19436, 0.049548, 3
11288, 11861, 0.062500, 1
15835, 15839, 0.017241, 1
15244, 18604, 0.200000, 1
12608, 18046, 0.200000, 1
